ID;Traditional;Simplified;Pinyin;Meaning
1991;通常;通常;tōngcháng;generally
1992;通信;通信;tōngxìn;communication
1993;同意;同意;tóngyì;agree
1994;痛;痛;tòng;pain
1995;痛苦;痛苦;tòngkǔ;pain
1996;頭;头;tóu;head
1997;頭腦;头脑;tóunǎo;mind
1998;突出;突出;tūchū;protrude
1999;突然;突然;tūrán;sudden
2000;圖;图;tú;image
2001;圖畫;图画;túhuà;picture
2002;土;土;tǔ;earth
2003;團;团;tuán;group
2004;團結;团结;tuánjié;unity
2005;團體;团体;tuántǐ;group
2006;推動;推动;tuīdòng;push
2007;推廣;推广;tuīguǎng;promotion
2008;推進;推进;tuījìn;advance
2009;推開;推开;tuīkāi;push
2010;退;退;tuì;retreat
2011;退出;退出;tuìchū;quit
2012;退休;退休;tuìxiū;retire
2013;外交;外交;wàijiāo;diplomatic
2014;外面;外面;wàimiàn;outside
2015;外文;外文;wàiwén;foreign language
2016;完美;完美;wánměi;perfect
2017;完善;完善;wánshàn;complete
2018;完整;完整;wánzhěng;whole
2019;玩具;玩具;wánjù;toy
2020;往往;往往;wǎngwǎng;often
2021;危害;危害;wēihài;harm
2022;危險;危险;wēixiǎn;danger
2023;為;为;wéi;for
2024;為;为;wéi;for
2025;圍;围;wéi;encirclement
2026;偉大;伟大;wěidà;great
2027;衛生;卫生;wèishēng;hygiene
2028;衛生間;卫生间;wèishēngjiān;bathroom
2029;為了;为了;wèile;in order to
2030;溫暖;温暖;wēnnuǎn;warm
2031;文化;文化;wénhuà;culture
2032;文件;文件;wénjiàn;document
2033;文明;文明;wénmíng;civilization
2034;文學;文学;wénxué;literature
2035;文章;文章;wénzhāng;article
2036;文字;文字;wénzì;word
2037;握手;握手;wòshǒu;shake hands
2038;屋子;屋子;wūzi;room
2039;武器;武器;wǔqì;arms
2040;武術;武术;wǔshù;martial arts
2041;舞臺;舞台;wǔtái;stage
2042;西部;西部;xībù;west
2043;希望;希望;xīwàng;hope
2044;系;系;xì;tie
2045;下來;下来;xiàlái;next
2046;下面;下面;xiàmiàn;under
2047;下去;下去;xiàqù;go down
2048;先進;先进;xiānjìn;advanced
2049;顯得;显得;xiǎnde;it appears
2050;顯然;显然;xiǎnrán;obviously
2051;顯示;显示;xiǎnshì;display
2052;現場;现场;xiànchǎng;on-site
2053;現代;现代;xiàndài;modern
2054;現金;现金;xiànjīn;cash
2055;現實;现实;xiànshí;reality
2056;現象;现象;xiànxiàng;phenomenon
2057;線;线;xiàn;string
2058;相比;相比;xiāngbǐ;compared to
2059;相當;相当;xiāngdāng;quite
2060;相關;相关;xiāngguān;related
2061;相互;相互;xiānghù;mutual
2062;相似;相似;xiāngsì;resemblance
2063;香;香;xiāng;fragrant
2064;香蕉;香蕉;xiāngjiāo;banana
2065;消費;消费;xiāofèi;consumption
2066;消失;消失;xiāoshī;disappear
2067;消息;消息;xiāoxi;information
2068;效果;效果;xiàoguǒ;effect
2069;寫作;写作;xiězuò;writing
2070;血;血;xiě;blood
2071;心;心;xīn;heart
2072;信;信;xìn;letter
2073;信封;信封;xìnfēng;envelope
2074;信任;信任;xìnrèn;trust
2075;行李;行李;xíngli;luggage
2076;形成;形成;xíngchéng;form
2077;形式;形式;xíngshì;form
2078;形象;形象;xíngxiàng;image
2079;形狀;形状;xíngzhuàng;shape
2080;幸福;幸福;xìngfú;happiness
2081;幸運;幸运;xìngyùn;lucky
2082;性（積極性）;性（积极性）;xìng(jījíxìng);sexuality (positiveness)
2083;性別;性别;xìngbié;gender
2084;性格;性格;xìnggé;character
2085;修;修;xiū;build
2086;修改;修改;xiūgǎi;revise
2087;需求;需求;xūqiú;need
2088;需要;需要;xūyào;need
2089;宣布;宣布;xuānbù;announce
2090;宣傳;宣传;xuānchuán;publicity
2091;選手;选手;xuǎnshǒu;player
2092;學費;学费;xuéfèi;tuition
2093;訓練;训练;xùnliàn;training
2094;壓;压;yā;pressure
2095;壓力;压力;yālì;pressure
2096;煙;烟;yān;smoke
2097;眼前;眼前;yǎnqián;before my eyes
2098;演;演;yǎn;play
2099;演唱;演唱;yǎnchàng;singing
2100;演唱會;演唱会;yǎnchànghuì;concert
2101;演出;演出;yǎnchū;show
2102;演員;演员;yǎnyuán;actor
2103;羊;羊;yáng;sheep
2104;陽光;阳光;yángguāng;sunshine
2105;要是;要是;yàoshi;if
2106;衣架;衣架;yījià;coat hanger
2107;一切;一切;yīqiè;everything
2108;已;已;yǐ;already
2109;以來;以来;yǐlái;since
2110;一方面;一方面;yīfāngmiàn;on the one hand
2111;藝術;艺术;yìshù;art
2112;意外;意外;yìwài;accident
2113;意義;意义;yìyì;significance
2114;因此;因此;yīncǐ;therefore
2115;銀;银;yín;silver
2116;銀牌;银牌;yínpái;silver medal
2117;印象;印象;yìnxiàng;impression
2118;應當;应当;yīngdāng;should
2119;迎接;迎接;yíngjiē;meet
2120;營養;营养;yíngyǎng;nutrition
2121;贏;赢;yíng;win
2122;影視;影视;yǐngshì;film and television
2123;應用;应用;yìngyòng;application
2124;優點;优点;yōudiǎn;advantage
2125;優勢;优势;yōushì;advantages
2126;由;由;yóu;depend on
2127;由於;由于;yóuyú;due to
2128;郵件;邮件;yóujiàn;email
2129;郵票;邮票;yóupiào;stamps
2130;郵箱;邮箱;yóuxiāng;email
2131;游;游;yóu;tour
2132;遊戲;游戏;yóuxì;games
2133;游泳;游泳;yóuyǒng;swim
2134;有的是;有的是;yǒudeshì;some are
2135;有利;有利;yǒulì;favorable
2136;有效;有效;yǒuxiào;efficient
2137;預報;预报;yùbào;forecast
2138;預防;预防;yùfáng;prevention
2139;預計;预计;yùjì;expected
2140;預習;预习;yùxí;preview
2141;員（服務員）;员（服务员）;yuán (fúwùyuán);staff (waiter)
2142;員工;员工;yuángōng;staff
2143;願望;愿望;yuànwàng;wish
2144;約;约;yuē;make an appointment
2145;樂隊;乐队;yuèduì;band
2146;運輸;运输;yùnshū;transportation
2147;雜誌;杂志;zázhì;magazine
2148;早已;早已;zǎoyǐ;long ago
2149;造;造;zào;make
2150;造成;造成;zàochéng;cause
2151;責任;责任;zérèn;responsibility
2152;增加;增加;zēngjiā;increase
2153;增長;增长;zēngzhǎng;growth
2154;展開;展开;zhǎnkāi;expand
2155;張;张;zhāng;sheet
2156;照;照;zhào;according to
2157;者（志願者）;者（志愿者）;zhě (zhìyuànzhě);volunteers
2158;真實;真实;zhēnshí;real
2159;爭;争;zhēng;dispute
2160;爭取;争取;zhēngqǔ;strive for
2161;整;整;zhěng;all
2162;整個;整个;zhěnggè;the whole
2163;整理;整理;zhěnglǐ;tidy
2164;整齊;整齐;zhěngqí;neat
2165;整體;整体;zhěngtǐ;overall
2166;整天;整天;zhěngtiān;all day
2167;整整;整整;zhěngzhěng;full
2168;正;正;zhèng;just
2169;正式;正式;zhèngshì;formal
2170;證;证;zhèng;certificate
2171;證件;证件;zhèngjiàn;certificate
2172;證據;证据;zhèngjù;evidence
2173;證明;证明;zhèngmíng;prove
2174;支;支;zhī;branch
2175;支持;支持;zhīchí;support
2176;支付;支付;zhīfù;payment
2177;隻;只;zhī;only
2178;直;直;zhí;straight
2179;直播;直播;zhíbō;live streaming
2180;直到;直到;zhídào;until
2181;值;值;zhí;value
2182;值得;值得;zhídé;worth
2183;職工;职工;zhígōng;employees
2184;職業;职业;zhíyè;profession
2185;只好;只好;zhǐhǎo;i had no choice
2186;只是;只是;zhǐshì;only
2187;只有;只有;zhǐyǒu;only
2188;指;指;zhǐ;refer to
2189;指出;指出;zhǐchū;point out
2190;指導;指导;zhǐdǎo;guidance
2191;至今;至今;zhìjīn;to date
2192;至少;至少;zhìshǎo;at least
2193;志願;志愿;zhìyuàn;aspirations
2194;志願者;志愿者;zhìyuànzhě;volunteers
2195;制定;制定;zhìdìng;formulate
2196;制度;制度;zhìdù;system
2197;製造;制造;zhìzào;manufacturing
2198;製作;制作;zhìzuò;production
2199;中部;中部;zhōngbù;central
2200;中華民族;中华民族;Zhōnghuá Mínzú;chinese nation
2201;終於;终于;zhōngyú;finally
2202;鐘;钟;zhōng;clock
2203;種;种;zhǒng;species
2204;種子;种子;zhǒngzi;seeds
2205;重大;重大;zhòngdà;major
2206;周圍;周围;zhōuwéi;surroundings
2207;豬;猪;zhū;pig
2208;主持;主持;zhǔchí;host
2209;主動;主动;zhǔdòng;initiative
2210;主任;主任;zhǔrèn;director
2211;主意;主意;zhǔyi;idea
2212;主張;主张;zhǔzhāng;advocate
2213;注意;注意;zhùyì;notice
2214;祝;祝;zhù;wish
2215;抓;抓;zhuā;grasp
2216;抓住;抓住;zhuāzhù;catch
2217;專家;专家;zhuānjiā;experts
2218;專門;专门;zhuānmén;special
2219;專題;专题;zhuāntí;special topic
2220;專業;专业;zhuānyè;professional
2221;轉;转;zhuǎn;turn
2222;轉變;转变;zhuǎnbiàn;transformation
2223;狀況;状况;zhuàngkuàng;situation
2224;狀態;状态;zhuàngtài;condition
2225;追;追;zhuī;chase
2226;準;准;zhǔn;accurate
2227;資格;资格;zīgé;qualification
2228;資金;资金;zījīn;funds
2229;子女;子女;zǐnǚ;child
2230;自從;自从;zìcóng;since
2231;自動;自动;zìdòng;automatic
2232;自覺;自觉;zìjué;self-awareness
2233;自然;自然;zìrán;nature
2234;自身;自身;zìshēn;itself
2235;自主;自主;zìzhǔ;autonomy
2236;總;总;zǒng;total
2237;總結;总结;zǒngjié;summary
2238;總是;总是;zǒngshì;always
2239;足夠;足够;zúgòu;enough
2240;足球;足球;zúqiú;football
2241;組合;组合;zǔhé;combination
2242;左右;左右;zuǒyòu;about
2243;作品;作品;zuòpǐn;work
2244;作者;作者;zuòzhě;author
2245;做客;做客;zuòkè;visiting
2246;阿姨;阿姨;āyí;aunt
2247;啊;啊;ā;ah
2248;矮;矮;ǎi;short
2249;矮小;矮小;ǎixiǎo;short
2250;愛國;爱国;àiguó;patriotism
2251;愛護;爱护;àihù;love
2252;安;安;ān;install
2253;安置;安置;ānzhì;resettlement
2254;按時;按时;ànshí;on time
2255;暗;暗;àn;dark
2256;暗示;暗示;ànshì;hint
2257;巴士;巴士;bāshì;bus
2258;百貨;百货;bǎihuò;department store
2259;擺;摆;bǎi;swing
2260;擺動;摆动;bǎidòng;swing
2261;擺脫;摆脱;bǎituō;get rid of
2262;敗;败;bài;defeat
2263;辦事;办事;bànshì;office
2264;包裹;包裹;bāoguǒ;pack
2265;包含;包含;bāohán;include
2266;包括;包括;bāokuò;include
2267;薄;薄;báo;thin
2268;寶;宝;bǎo;bao
2269;寶寶;宝宝;bǎobao;baby
2270;寶貝;宝贝;bǎobèi;baby
2271;寶貴;宝贵;bǎoguì;precious
2272;寶石;宝石;bǎoshí;gemstones
2273;保密;保密;bǎomì;confidential
2274;保守;保守;bǎoshǒu;keep
2275;抱;抱;bào;hug
2276;背景;背景;bèijǐng;background
2277;倍;倍;bèi;times
2278;被迫;被迫;bèipò;forced
2279;本科;本科;běnkē;undergraduate
2280;笨;笨;bèn;fool
2281;比分;比分;bǐfēn;score
2282;畢業;毕业;bìyè;graduate
2283;畢業生;毕业生;bìyèshēng;graduates
2284;避;避;bì;avoid
2285;避免;避免;bìmiǎn;avoid
2286;編;编;biān;compile
2287;辯論;辩论;biànlùn;debate
2288;標誌;标志;biāozhì;logo
2289;表情;表情;biǎoqíng;expression
2290;表揚;表扬;biǎoyáng;praise
2291;別;别;bié;don't
2292;冰;冰;bīng;ice
2293;冰箱;冰箱;bīngxiāng;refrigerator
2294;冰雪;冰雪;bīngxuě;ice and snow
2295;兵;兵;bīng;soldiers
2296;並;并;bìng;and
2297;不要緊;不要紧;bùyàojǐn;it's okay.
2298;不在乎;不在乎;bùzàihu;not give a damn about
2299;不管;不管;bùguǎn;in spite of
2300;不然;不然;bùrán;otherwise
2301;佈置;布置;bùzhì;decoration
2302;步行;步行;bùxíng;walk
2303;擦;擦;cā;wipe
2304;才;才;cái;talent
2305;材料;材料;cáiliào;material
2306;財產;财产;cáichǎn;property
2307;財富;财富;cáifù;wealth
2308;採訪;采访;cǎifǎng;interview
2309;參考;参考;cānkǎo;refer to
2310;參與;参与;cānyù;participation
2311;操場;操场;cāochǎng;playground
2312;操作;操作;cāozuò;operate
2313;測;测;cè;test
2314;測量;测量;cèliáng;measurement
2315;測試;测试;cèshì;test
2316;曾;曾;céng;ever
2317;茶葉;茶叶;cháyè;tea
2318;產品;产品;chǎnpǐn;product
2319;長途;长途;chángtú;long distance
2320;常識;常识;chángshí;common sense
2321;唱片;唱片;chàngpiàn;record
2322;抄;抄;chāo;copy
2323;抄寫;抄写;chāoxiě;copying
2324;潮;潮;cháo;tide
2325;潮流;潮流;cháoliú;trend
2326;潮濕;潮湿;cháoshī;humid
2327;徹底;彻底;chèdǐ;thorough
2328;沉;沉;chén;sink
2329;沉默;沉默;chénmò;silence
2330;沉重;沉重;chénzhòng;heavy
2331;稱讚;称赞;chēngzàn;praise
2332;成人;成人;chéngrén;aldult
2333;誠實;诚实;chéngshí;honesty
2334;誠信;诚信;chéngxìn;integrity
2335;承擔;承担;chéngdān;undertake
2336;承認;承认;chéngrèn;recognize
2337;承受;承受;chéngshòu;bear
2338;程序;程序;chéngxù;program
2339;吃驚;吃惊;chījīng;surprised
2340;遲到;迟到;chídào;late
2341;尺;尺;chǐ;ruler
2342;尺寸;尺寸;chǐcùn;size
2343;尺子;尺子;chǐzi;ruler
2344;衝;冲;chōng;thrust
2345;充電;充电;chōngdiàn;charging
2346;充電器;充电器;chōngdiànqì;charger
2347;充分;充分;chōngfèn;full
2348;蟲子;虫子;chóngzi;insects
2349;抽;抽;chōu;smoke
2350;抽獎;抽奖;chōujiǎng;lottery
2351;抽煙;抽烟;chōuyān;smoking
2352;出口;出口;chūkǒu;exit
2353;出色;出色;chūsè;outstanding
2354;出售;出售;chūshòu;sell
2355;出席;出席;chūxí;attend
2356;處於;处于;chǔyú;in
2357;處;处;chù;place
2358;穿上;穿上;chuānshang;wear
2359;傳統;传统;chuántǒng;tradition
2360;窗戶;窗户;chuānghu;window
2361;窗臺;窗台;chuāngtái;windowsill
2362;窗子;窗子;chuāngzi;window
2363;春季;春季;chūnjì;spring
2364;純;纯;chún;pure
2365;純淨水;纯净水;chúnjìngshuǐ;pure water
2366;詞彙;词汇;cíhuì;vocabulary
2367;此;此;cǐ;this
2368;此外;此外;cǐwài;also
2369;次;次;cì;second-rate
2370;刺;刺;cì;prick
2371;刺激;刺激;cìjī;stimulate
2372;從此;从此;cóngcǐ;from then on
2373;粗;粗;cū;thick
2374;粗心;粗心;cūxīn;careless
2375;促進;促进;cùjìn;promote
2376;促使;促使;cùshǐ;prompt
2377;促銷;促销;cùxiāo;promotion
2378;措施;措施;cuòshī;measure
2379;打;打;dá;beat
2380;答案;答案;dá'àn;answer
2381;打敗;打败;dǎbài;defeat
2382;打雷;打雷;dǎléi;thunder
2383;打掃;打扫;dǎsǎo;clean
2384;打折;打折;dǎzhé;discount
2385;打針;打针;dǎzhēn;injection
2386;大巴;大巴;dàbā;bus
2387;大多;大多;dàduō;most
2388;大方;大方;dàfang;generous
2389;大哥;大哥;dàgē;big brother
2390;大規模;大规模;dà guīmó;large scale
2391;大會;大会;dàhuì;conference
2392;大姐;大姐;dàjiě;eldest sister
2393;大樓;大楼;dà lóu;building
2394;大陸;大陆;dàlù;mainland
2395;大媽;大妈;dàmā;auntie
2396;大型;大型;dàxíng;large
2397;大爺;大爷;dàye;grandpa
2398;大眾;大众;dàzhòng;public
2399;代替;代替;dàitì;replace
2400;待遇;待遇;dàiyù;treatment
2401;袋;袋;dài;bag
2402;戴;戴;dài;wear
2403;擔保;担保;dānbǎo;guarantee
2404;擔任;担任;dānrèn;serve
2405;擔心;担心;dānxīn;worry
2406;單;单;dān;single
2407;單純;单纯;dānchún;simple
2408;單調;单调;dāndiào;monotonous
2409;單獨;单独;dāndú;alone
2410;淡;淡;dàn;light
2411;導遊;导游;dǎoyóu;tour guide
2412;導致;导致;dǎozhì;lead to
2413;倒閉;倒闭;dǎobì;closure
2414;倒車;倒车;dǎochē;reversing
2415;倒車;倒车;dàochē;reversing
2416;得意;得意;déyì;proud
2417;得;得;děi;have to
2418;燈光;灯光;dēngguāng;lighting
2419;登;登;dēng;deng
2420;登記;登记;dēngjì;registration
2421;登錄;登录;dēnglù;login
2422;登山;登山;dēngshān;mountain climbing
2423;的確;的确;díquè;indeed
2424;敵人;敌人;dírén;enemy
2425;底;底;dǐ;end
2426;地方;地方;dìfāng;place
2427;地面;地面;dìmiàn;ground
2428;地位;地位;dìwèi;status
2429;地下;地下;dìxià;underground
2430;地址;地址;dìzhǐ;address
2431;典型;典型;diǎnxíng;typical
2432;點名;点名;diǎnmíng;roll call
2433;電燈;电灯;diàndēng;electric light
2434;電動車;电动车;diàndòngchē;electric vehicles
2435;電梯;电梯;diàntī;lift
2436;電源;电源;diànyuán;power supply
2437;頂;顶;dǐng;top
2438;定;定;dìng;certainly
2439;冬季;冬季;dōngjì;winter
2440;動畫片;动画片;dònghuàpiàn;animated films
2441;動搖;动摇;dòngyáo;rock
2442;豆腐;豆腐;dòufu;tofu
2443;獨立;独立;dúlì;independence
2444;獨特;独特;dútè;unique
2445;獨自;独自;dúzì;alone
2446;堵;堵;dǔ;block
2447;堵車;堵车;dǔchē;traffic jam
2448;肚子;肚子;dùzi;abdomen
2449;度過;度过;dùguò;pass through
2450;鍛鍊;锻炼;duànliàn;training
2451;對比;对比;duìbǐ;comparison
2452;對付;对付;duìfu;counter
2453;對於;对于;duìyú;for
2454;多次;多次;duō cì;repeatedly
2455;多年;多年;duō nián;for many years
2456;多樣;多样;duōyàng;diversity
2457;多種;多种;duō zhǒng;multiple
2458;噁心;恶心;ěxin;nausea
2459;兒童;儿童;értóng;children
2460;而;而;ér;and
2461;而是;而是;ér shì;instead
2462;耳機;耳机;ěrjī;earphone
2463;二手;二手;èrshǒu;second hand
2464;發揮;发挥;fāhuī;give full play to
2465;發票;发票;fāpiào;invoice
2466;發燒;发烧;fāshāo;fever
2467;法;法;fǎ;law
2468;法官;法官;fǎguān;judge
2469;法律;法律;fǎlǜ;law
2470;法院;法院;fǎyuàn;court
2471;翻;翻;fān;turn
2472;翻譯;翻译;fānyì;translation
2473;煩;烦;fán;annoyed
2474;反;反;fǎn;opposite
2475;反而;反而;fǎn'ér;instead
2476;反映;反映;fǎnyìng;reflect
2477;方;方;fāng;square
2478;方案;方案;fāng'àn;plan
2479;方針;方针;fāngzhēn;policy
2480;放鬆;放松;fàngsōng;relax
2481;非;非;fēi;no
2482;肥;肥;féi;fat
2483;分佈;分布;fēnbù;distribution
2484;分散;分散;fēnsàn;dispersion
2485;分手;分手;fēnshǒu;separate
2486;分為;分为;fēnwéi;divided into
2487;…分之…;…分之…;…fēn zhī…;…divided…
2488;紛紛;纷纷;fēnfēn;various
2489;奮鬥;奋斗;fèndòu;strive
2490;風格;风格;fēnggé;style
2491;風景;风景;fēngjǐng;landscape
2492;風俗;风俗;fēngsú;customs
2493;封閉;封闭;fēngbì;closed
2494;否則;否则;fǒuzé;otherwise
2495;夫婦;夫妇;fūfù;couple
2496;夫妻;夫妻;fūqī;couple
2497;夫人;夫人;fūrén;lady
2498;符號;符号;fúhào;symbols
2499;符合;符合;fúhé;conform to
2500;付出;付出;fùchū;pay
2501;負擔;负担;fùdān;burden
2502;附近;附近;fùjìn;nearby
2503;複製;复制;fùzhì;copy
2504;改善;改善;gǎishàn;improve
2505;改正;改正;gǎizhèng;correct
2506;蓋;盖;gài;cover
2507;概括;概括;gàikuò;summary
2508;感興趣;感兴趣;gǎn xìngqù;interested
2509;高潮;高潮;gāocháo;climax
2510;高價;高价;gāojià;high price
2511;高尚;高尚;gāoshàng;noble
2512;高鐵;高铁;gāotiě;high-speed rail
2513;格外;格外;géwài;particularly
2514;隔;隔;gé;separation
2515;隔開;隔开;gékāi;separate
2516;個別;个别;gèbié;individual
2517;個體;个体;gètǐ;individual
2518;各個;各个;gègè;each
2519;根;根;gēn;root
2520;根據;根据;gēnjù;according to
2521;工程;工程;gōngchéng;project
2522;公元;公元;gōngyuán;a.d.
2523;供應;供应;gōngyìng;supply
2524;共;共;gòng;common
2525;構成;构成;gòuchéng;constitute
2526;構造;构造;gòuzào;structure
2527;購買;购买;gòumǎi;purchase
2528;購物;购物;gòuwù;shopping
2529;骨頭;骨头;gǔtou;bones
2530;固定;固定;gùdìng;fixed
2531;瓜;瓜;guā;melon
2532;怪;怪;guài;strange
2533;關;关;guān;shut
2534;關閉;关闭;guānbì;close
2535;關於;关于;guānyú;about
2536;官;官;guān;official
2537;官方;官方;guānfāng;official
2538;光臨;光临;guānglín;arrival
2539;光盤;光盘;guāngpán;cd
2540;逛;逛;guàng;visit
2541;歸;归;guī;return
2542;規律;规律;guīlǜ;rules
2543;規模;规模;guīmó;scale
2544;規則;规则;guīzé;rules
2545;果實;果实;guǒshí;fruit
2546;過分;过分;guòfèn;excessive
2547;海水;海水;hǎishuǐ;seawater
2548;海鮮;海鲜;hǎixiān;seafood
2549;含;含;hán;includes
2550;含量;含量;hánliàng;content
2551;含義;含义;hányì;meaning
2552;含有;含有;hányǒu;contain
2553;寒假;寒假;hánjià;winter vacation
2554;寒冷;寒冷;hánlěng;cold
2555;行業;行业;hángyè;industry
2556;航班;航班;hángbān;flight
2557;航空;航空;hángkōng;aviation
2558;毫米;毫米;háomǐ;millimeters
2559;毫升;毫升;háoshēng;milliliters
2560;好友;好友;hǎoyǒu;friends
2561;號碼;号码;hàomǎ;number
2562;好;好;hào;good
2563;合同;合同;hétóng;contract
2564;黑暗;黑暗;hēi'àn;dark
2565;紅包;红包;hóngbāo;red envelope
2566;後頭;后头;hòutou;behind
2567;厚;厚;hòu;thick
2568;呼吸;呼吸;hūxī;breathe
2569;忽視;忽视;hūshì;ignoring
2570;戶;户;hù;household
2571;護士;护士;hùshi;nurse
2572;花;花;huā;flower
2573;划;划;huá;plan
2574;劃;划;huà;刃
2575;懷念;怀念;huáiniàn;nostalgia
2576;懷疑;怀疑;huáiyí;doubt
2577;緩解;缓解;huǎnjiě;relief
2578;黃瓜;黄瓜;huángguā;cucumber
2579;黃金;黄金;huángjīn;gold
2580;回復;回复;huífù;reply
2581;匯;汇;huì;hui
2582;匯報;汇报;huìbào;report
2583;匯率;汇率;huìlǜ;exchange rate
2584;婚禮;婚礼;hūnlǐ;wedding
2585;火;火;huǒ;fire
2586;夥;伙;huǒ;guy
2587;伙伴;伙伴;huǒbàn;partner
2588;或許;或许;huòxǔ;perhaps
2589;貨;货;huò;goods
2590;獲;获;huò;acquired
2591;獲得;获得;huòdé;obtain
2592;獲獎;获奖;huòjiǎng;award
2593;獲取;获取;huòqǔ;acquire
2594;幾乎;几乎;jīhū;almost
2595;機構;机构;jīgòu;institution
2596;機遇;机遇;jīyù;opportunities
2597;積累;积累;jīlěi;accumulation
2598;激動;激动;jīdòng;excited
2599;激烈;激烈;jīliè;fierce
2600;及格;及格;jígé;pass
2601;極;极;jí;extreme
2602;極其;极其;jíqí;extremely
2603;即將;即将;jíjiāng;soon
2604;急忙;急忙;jímáng;hastily
2605;集合;集合;jíhé;gather
2606;記載;记载;jìzǎi;record
2607;紀律;纪律;jìlǜ;discipline
2608;技巧;技巧;jìqiǎo;skill
2609;繫;系;jì;繫
2610;季;季;jì;season
2611;季度;季度;jìdù;quarter
2612;季節;季节;jìjié;season
2613;既;既;jì;now that
2614;既然;既然;jìrán;now that
2615;寄;寄;jì;send
2616;加班;加班;jiābān;work overtime
2617;加入;加入;jiārù;join in
2618;加油站;加油站;jiāyóuzhàn;gas station
2619;家務;家务;jiāwù;housework
2620;假如;假如;jiǎrú;if
2621;堅固;坚固;jiāngù;sturdy
2622;檢測;检测;jiǎncè;detection
2623;減;减;jiǎn;reduce
2624;減肥;减肥;jiǎnféi;weight loss
2625;減少;减少;jiǎnshǎo;reduce
2626;簡歷;简历;jiǎnlì;resume
2627;健身;健身;jiànshēn;fitness
2628;漸漸;渐渐;jiànjiàn;gradually
2629;江;江;jiāng;river
2630;講究;讲究;jiǎngjiu;pay attention to
2631;講座;讲座;jiǎngzuò;lecture
2632;獎;奖;jiǎng;award
2633;獎金;奖金;jiǎngjīn;bonus
2634;獎學金;奖学金;jiǎngxuéjīn;scholarship
2635;降;降;jiàng;drop
2636;降低;降低;jiàngdī;reduce
2637;降價;降价;jiàngjià;price reduction
2638;降落;降落;jiàngluò;landing
2639;降溫;降温;jiàngwēn;cooling
2640;交換;交换;jiāohuàn;exchange
2641;交際;交际;jiāojì;communication
2642;教授;教授;jiàoshòu;professor
2643;教訓;教训;jiàoxùn;lesson
2644;階段;阶段;jiēduàn;stage
2645;街道;街道;jiēdào;street
2646;節省;节省;jiéshěng;save
2647;結;结;jié;knot
2648;結構;结构;jiégòu;structure
2649;結論;结论;jiélùn;conclusion
2650;姐妹;姐妹;jiěmèi;sisters
2651;解釋;解释;jiěshì;explain
2652;儘快;尽快;jǐnkuài;as soon as possible
2653;緊密;紧密;jǐnmì;tight
2654;盡力;尽力;jìnlì;do your best
2655;進口;进口;jìnkǒu;imports
2656;近代;近代;jìndài;modern times
2657;禁止;禁止;jìnzhǐ;prohibit
2658;經典;经典;jīngdiǎn;classic
2659;精力;精力;jīnglì;energy
2660;竟然;竟然;jìngrán;it turns out
2661;鏡頭;镜头;jìngtóu;shot
2662;鏡子;镜子;jìngzi;mirror
2663;究竟;究竟;jiūjìng;after all
2664;酒吧;酒吧;jiǔbā;bar
2665;居民;居民;jūmín;resident
2666;居住;居住;jūzhù;live
2667;局;局;jú;bureau
2668;巨大;巨大;jùdà;huge
2669;具備;具备;jùbèi;possess
2670;距離;距离;jùlí;distance
2671;聚;聚;jù;gather
2672;聚會;聚会;jùhuì;gathering
2673;卷;卷;juǎn;roll
2674;卷;卷;juàn;roll
2675;角色;角色;juésè;role
2676;開花;开花;kāihuā;flowering
2677;開水;开水;kāishuǐ;boiling water
2678;看不起;看不起;kànbuqǐ;despise
2679;看來;看来;kànlái;it seems
2680;看望;看望;kànwàng;visit
2681;考察;考察;kǎochá;investigation
2682;考慮;考虑;kǎolǜ;consider
2683;棵;棵;kē;tree
2684;可見;可见;kějiàn;it is evident
2685;空間;空间;kōngjiān;space
2686;空;空;kòng;null
2687;口袋;口袋;kǒudai;pocket
2688;口語;口语;kǒuyǔ;spoken language
2689;苦;苦;kǔ;bitter
2690;會計;会计;kuàijì;accounting
2691;快遞;快递;kuàidì;express
2692;寬;宽;kuān;wide
2693;寬廣;宽广;kuānguǎng;wide
2694;礦泉水;矿泉水;kuàngquánshuǐ;mineral water
2695;擴大;扩大;kuòdà;expand
2696;擴展;扩展;kuòzhǎn;expansion
2697;括號;括号;kuòhào;parentheses
2698;垃圾;垃圾;lājī;rubbish
2699;拉開;拉开;lākāi;pull
2700;辣;辣;là;hot
2701;來不及;来不及;láibují;too late
2702;來得及;来得及;láidejí;it's not too late
2703;來源;来源;láiyuán;source
2704;老公;老公;lǎogōng;husband
2705;老家;老家;lǎojiā;hometown
2706;老婆;老婆;lǎopo;wife
2707;老實;老实;lǎoshi;honest
2708;樂趣;乐趣;lèqù;fun
2709;淚;泪;lèi;tears
2710;淚水;泪水;lèishuǐ;tears
2711;類型;类型;lèixíng;type
2712;冷靜;冷静;lěngjìng;calm down
2713;釐米;厘米;límǐ;centimeters
2714;離不開;离不开;lí bu kāi;indispensable
2715;力氣;力气;lìqi;strength
2716;歷史;历史;lìshǐ;history
2717;立即;立即;lìjí;immediately
2718;利息;利息;lìxī;interest
2719;利益;利益;lìyì;benefit
2720;倆;俩;liǎ;two
2721;良好;良好;liánghǎo;good
2722;量;量;liáng;quantity
2723;糧食;粮食;liángshi;food
2724;兩邊;两边;liǎngbiān;both sides
2725;療養;疗养;liáoyǎng;recuperate
